date,Open,High,Low,Close,Adj Close**,Volume
"Aug 20, 2020",3360.48,3390.8,3354.69,3385.51,3385.51,3642850000
"Aug 19, 2020",3392.51,3399.54,3369.66,3374.85,3374.85,3884480000
"Aug 18, 2020",3387.04,3395.06,3370.15,3389.78,3389.78,3881310000
"Aug 17, 2020",3380.86,3387.59,3379.22,3381.99,3381.99,3671290000
"Aug 14, 2020",3368.66,3378.51,3361.64,3372.85,3372.85,3193400000
"Aug 13, 2020",3372.95,3387.24,3363.35,3373.43,3373.43,3648810000
"Aug 12, 2020",3355.46,3387.89,3355.46,3380.35,3380.35,3768560000
"Aug 11, 2020",3370.34,3381.01,3326.44,3333.69,3333.69,5087650000
"Aug 10, 2020",3356.04,3363.29,3335.44,3360.47,3360.47,4318570000
"Aug 07, 2020",3340.05,3352.54,3328.72,3351.28,3351.28,4104860000
"Aug 06, 2020",3323.17,3351.03,3318.14,3349.16,3349.16,4267490000
"Aug 05, 2020",3317.37,3330.77,3317.37,3327.77,3327.77,4732220000
"Aug 04, 2020",3289.92,3306.84,3286.37,3306.51,3306.51,4621670000
"Aug 03, 2020",3288.26,3302.73,3284.53,3294.61,3294.61,4643640000
"Jul 31, 2020",3270.45,3272.17,3220.26,3271.12,3271.12,5117260000
"Jul 30, 2020",3231.76,3250.92,3204.13,3246.22,3246.22,4254010000
"Jul 29, 2020",3227.22,3264.74,3227.22,3258.44,3258.44,4676300000
"Jul 28, 2020",3234.27,3243.72,3216.17,3218.44,3218.44,4027890000
"Jul 27, 2020",3219.84,3241.43,3214.25,3239.41,3239.41,3963910000
"Jul 24, 2020",3218.58,3227.26,3200.05,3215.63,3215.63,3894900000
"Jul 23, 2020",3271.64,3279.99,3222.66,3235.66,3235.66,4290460000
"Jul 22, 2020",3254.86,3279.32,3253.1,3276.02,3276.02,4255190000
"Jul 21, 2020",3268.52,3277.29,3247.77,3257.3,3257.3,4547960000
"Jul 20, 2020",3224.29,3258.61,3215.16,3251.84,3251.84,3971200000
"Jul 17, 2020",3224.21,3233.52,3205.65,3224.73,3224.73,3993830000
"Jul 16, 2020",3208.36,3220.39,3198.59,3215.57,3215.57,3961230000
"Jul 15, 2020",3225.98,3238.28,3200.76,3226.56,3226.56,4669760000
"Jul 14, 2020",3141.11,3200.95,3127.66,3197.52,3197.52,4476170000
"Jul 13, 2020",3205.08,3235.32,3149.43,3155.22,3155.22,4890780000
"Jul 10, 2020",3152.47,3186.82,3136.22,3185.04,3185.04,4515340000
"Jul 09, 2020",3176.17,3179.78,3115.7,3152.05,3152.05,4829020000
"Jul 08, 2020",3153.07,3171.8,3136.53,3169.94,3169.94,4927700000
"Jul 07, 2020",3166.44,3184.15,3142.93,3145.32,3145.32,4563700000
"Jul 06, 2020",3155.29,3182.59,3155.29,3179.72,3179.72,4736450000
"Jul 02, 2020",3143.64,3165.81,3124.52,3130.01,3130.01,4190830000
"Jul 01, 2020",3105.92,3128.44,3101.17,3115.86,3115.86,4443130000
"Jun 30, 2020",3050.2,3111.51,3047.83,3100.29,3100.29,4696280000
"Jun 29, 2020",3018.59,3053.89,2999.74,3053.24,3053.24,4462770000
"Jun 26, 2020",3073.2,3073.73,3004.63,3009.05,3009.05,8098120000
"Jun 25, 2020",3046.6,3086.25,3024.01,3083.76,3083.76,4815420000
"Jun 24, 2020",3114.4,3115.01,3032.13,3050.33,3050.33,5587200000
"Jun 23, 2020",3138.7,3154.9,3127.12,3131.29,3131.29,4704830000
"Jun 22, 2020",3094.42,3120.92,3079.39,3117.86,3117.86,4665380000
"Jun 19, 2020",3140.29,3155.53,3083.11,3097.74,3097.74,8327780000
"Jun 18, 2020",3101.64,3120,3093.51,3115.34,3115.34,4429030000
"Jun 17, 2020",3136.13,3141.16,3108.03,3113.49,3113.49,4549390000
"Jun 16, 2020",3131,3153.45,3076.06,3124.74,3124.74,5829240000
"Jun 15, 2020",2993.76,3079.76,2965.66,3066.59,3066.59,5740660000
